"","plot_data.threshold","plot_data.perc_corr_class","plot_data.group","opt_cutoff","confusion_matrix.predicted_class","confusion_matrix.observations","confusion_matrix.Freq"
"1",0,1,"Sprayable",0.25,"0","0",4245
"2",0.001001001001001,1,"Sprayable",0.25,"1","0",698
"3",0.002002002002002,0.998,"Sprayable",0.25,"0","1",219
"4",0.003003003003003,0.998,"Sprayable",0.25,"1","1",1345
"5",0.004004004004004,0.998,"Sprayable",0.25,"0","0",4245
"6",0.005005005005005,0.998,"Sprayable",0.25,"1","0",698
"7",0.00600600600600601,0.998,"Sprayable",0.25,"0","1",219
"8",0.00700700700700701,0.998,"Sprayable",0.25,"1","1",1345
"9",0.00800800800800801,0.998,"Sprayable",0.25,"0","0",4245
"10",0.00900900900900901,0.998,"Sprayable",0.25,"1","0",698
"11",0.01001001001001,0.998,"Sprayable",0.25,"0","1",219
"12",0.011011011011011,0.997,"Sprayable",0.25,"1","1",1345
"13",0.012012012012012,0.997,"Sprayable",0.25,"0","0",4245
"14",0.013013013013013,0.997,"Sprayable",0.25,"1","0",698
"15",0.014014014014014,0.997,"Sprayable",0.25,"0","1",219
"16",0.015015015015015,0.996,"Sprayable",0.25,"1","1",1345
"17",0.016016016016016,0.996,"Sprayable",0.25,"0","0",4245
"18",0.017017017017017,0.996,"Sprayable",0.25,"1","0",698
"19",0.018018018018018,0.994,"Sprayable",0.25,"0","1",219
"20",0.019019019019019,0.994,"Sprayable",0.25,"1","1",1345
"21",0.02002002002002,0.994,"Sprayable",0.25,"0","0",4245
"22",0.021021021021021,0.994,"Sprayable",0.25,"1","0",698
"23",0.022022022022022,0.993,"Sprayable",0.25,"0","1",219
"24",0.023023023023023,0.992,"Sprayable",0.25,"1","1",1345
"25",0.024024024024024,0.992,"Sprayable",0.25,"0","0",4245
"26",0.025025025025025,0.992,"Sprayable",0.25,"1","0",698
"27",0.026026026026026,0.992,"Sprayable",0.25,"0","1",219
"28",0.027027027027027,0.991,"Sprayable",0.25,"1","1",1345
"29",0.028028028028028,0.991,"Sprayable",0.25,"0","0",4245
"30",0.029029029029029,0.99,"Sprayable",0.25,"1","0",698
"31",0.03003003003003,0.99,"Sprayable",0.25,"0","1",219
"32",0.031031031031031,0.988,"Sprayable",0.25,"1","1",1345
"33",0.032032032032032,0.986,"Sprayable",0.25,"0","0",4245
"34",0.033033033033033,0.985,"Sprayable",0.25,"1","0",698
"35",0.034034034034034,0.985,"Sprayable",0.25,"0","1",219
"36",0.035035035035035,0.984,"Sprayable",0.25,"1","1",1345
"37",0.036036036036036,0.982,"Sprayable",0.25,"0","0",4245
"38",0.037037037037037,0.981,"Sprayable",0.25,"1","0",698
"39",0.038038038038038,0.981,"Sprayable",0.25,"0","1",219
"40",0.039039039039039,0.981,"Sprayable",0.25,"1","1",1345
"41",0.04004004004004,0.981,"Sprayable",0.25,"0","0",4245
"42",0.041041041041041,0.98,"Sprayable",0.25,"1","0",698
"43",0.042042042042042,0.979,"Sprayable",0.25,"0","1",219
"44",0.043043043043043,0.978,"Sprayable",0.25,"1","1",1345
"45",0.044044044044044,0.978,"Sprayable",0.25,"0","0",4245
"46",0.045045045045045,0.976,"Sprayable",0.25,"1","0",698
"47",0.046046046046046,0.976,"Sprayable",0.25,"0","1",219
