"","plot_data.threshold","plot_data.perc_corr_class","plot_data.group","opt_cutoff","confusion_matrix.predicted_class","confusion_matrix.observations","confusion_matrix.Freq"
"1",0,0.998,"Sprayable",0.066,"0","0",28421
"2",0.001001001001001,0.998,"Sprayable",0.066,"1","0",3562
"3",0.002002002002002,0.994,"Sprayable",0.066,"0","1",529
"4",0.003003003003003,0.994,"Sprayable",0.066,"1","1",4298
"5",0.004004004004004,0.994,"Sprayable",0.066,"0","0",28421
"6",0.005005005005005,0.99,"Sprayable",0.066,"1","0",3562
"7",0.00600600600600601,0.99,"Sprayable",0.066,"0","1",529
"8",0.00700700700700701,0.989,"Sprayable",0.066,"1","1",4298
"9",0.00800800800800801,0.985,"Sprayable",0.066,"0","0",28421
"10",0.00900900900900901,0.985,"Sprayable",0.066,"1","0",3562
"11",0.01001001001001,0.982,"Sprayable",0.066,"0","1",529
"12",0.011011011011011,0.981,"Sprayable",0.066,"1","1",4298
"13",0.012012012012012,0.98,"Sprayable",0.066,"0","0",28421
"14",0.013013013013013,0.977,"Sprayable",0.066,"1","0",3562
"15",0.014014014014014,0.975,"Sprayable",0.066,"0","1",529
"16",0.015015015015015,0.973,"Sprayable",0.066,"1","1",4298
"17",0.016016016016016,0.968,"Sprayable",0.066,"0","0",28421
"18",0.017017017017017,0.966,"Sprayable",0.066,"1","0",3562
"19",0.018018018018018,0.964,"Sprayable",0.066,"0","1",529
"20",0.019019019019019,0.962,"Sprayable",0.066,"1","1",4298
"21",0.02002002002002,0.961,"Sprayable",0.066,"0","0",28421
"22",0.021021021021021,0.959,"Sprayable",0.066,"1","0",3562
"23",0.022022022022022,0.958,"Sprayable",0.066,"0","1",529
"24",0.023023023023023,0.955,"Sprayable",0.066,"1","1",4298
"25",0.024024024024024,0.954,"Sprayable",0.066,"0","0",28421
"26",0.025025025025025,0.95,"Sprayable",0.066,"1","0",3562
"27",0.026026026026026,0.948,"Sprayable",0.066,"0","1",529
"28",0.027027027027027,0.947,"Sprayable",0.066,"1","1",4298
"29",0.028028028028028,0.943,"Sprayable",0.066,"0","0",28421
"30",0.029029029029029,0.942,"Sprayable",0.066,"1","0",3562
"31",0.03003003003003,0.94,"Sprayable",0.066,"0","1",529
"32",0.031031031031031,0.939,"Sprayable",0.066,"1","1",4298
"33",0.032032032032032,0.937,"Sprayable",0.066,"0","0",28421
"34",0.033033033033033,0.935,"Sprayable",0.066,"1","0",3562
"35",0.034034034034034,0.933,"Sprayable",0.066,"0","1",529
"36",0.035035035035035,0.931,"Sprayable",0.066,"1","1",4298
"37",0.036036036036036,0.93,"Sprayable",0.066,"0","0",28421
"38",0.037037037037037,0.928,"Sprayable",0.066,"1","0",3562
"39",0.038038038038038,0.926,"Sprayable",0.066,"0","1",529
"40",0.039039039039039,0.925,"Sprayable",0.066,"1","1",4298
"41",0.04004004004004,0.923,"Sprayable",0.066,"0","0",28421
"42",0.041041041041041,0.921,"Sprayable",0.066,"1","0",3562
"43",0.042042042042042,0.92,"Sprayable",0.066,"0","1",529
"44",0.043043043043043,0.919,"Sprayable",0.066,"1","1",4298
"45",0.044044044044044,0.918,"Sprayable",0.066,"0","0",28421
"46",0.045045045045045,0.915,"Sprayable",0.066,"1","0",3562
"47",0.046046046046046,0.914,"Sprayable",0.066,"0","1",529
"48",0.047047047047047,0.913,"Sprayable",0.066,"1","1",4298
"49",0.048048048048048,0.912,"Sprayable",0.066,"0","0",28421
"50",0.049049049049049,0.912,"Sprayable",0.066,"1","0",3562
"51",0.05005005005005,0.91,"Sprayable",0.066,"0","1",529
"52",0.0510510510510511,0.909,"Sprayable",0.066,"1","1",4298
"53",0.0520520520520521,0.907,"Sprayable",0.066,"0","0",28421
"54",0.0530530530530531,0.905,"Sprayable",0.066,"1","0",3562
"55",0.0540540540540541,0.903,"Sprayable",0.066,"0","1",529
"56",0.0550550550550551,0.902,"Sprayable",0.066,"1","1",4298
"57",0.0560560560560561,0.901,"Sprayable",0.066,"0","0",28421
"58",0.0570570570570571,0.9,"Sprayable",0.066,"1","0",3562
"59",0.0580580580580581,0.897,"Sprayable",0.066,"0","1",529
"60",0.0590590590590591,0.896,"Sprayable",0.066,"1","1",4298
"61",0.0600600600600601,0.895,"Sprayable",0.066,"0","0",28421
"62",0.0610610610610611,0.894,"Sprayable",0.066,"1","0",3562
