"","plot_data.threshold","plot_data.perc_corr_class","plot_data.group","opt_cutoff","confusion_matrix.predicted_class","confusion_matrix.observations","confusion_matrix.Freq"
"1",0,1,"Sprayable",0.406,"0","0",557
"2",0.001001001001001,1,"Sprayable",0.406,"1","0",45
"3",0.002002002002002,1,"Sprayable",0.406,"0","1",26
"4",0.003003003003003,1,"Sprayable",0.406,"1","1",315
"5",0.004004004004004,1,"Sprayable",0.406,"0","0",557
"6",0.005005005005005,1,"Sprayable",0.406,"1","0",45
"7",0.00600600600600601,1,"Sprayable",0.406,"0","1",26
"8",0.00700700700700701,1,"Sprayable",0.406,"1","1",315
"9",0.00800800800800801,1,"Sprayable",0.406,"0","0",557
"10",0.00900900900900901,1,"Sprayable",0.406,"1","0",45
"11",0.01001001001001,1,"Sprayable",0.406,"0","1",26
"12",0.011011011011011,1,"Sprayable",0.406,"1","1",315
"13",0.012012012012012,1,"Sprayable",0.406,"0","0",557
"14",0.013013013013013,1,"Sprayable",0.406,"1","0",45
"15",0.014014014014014,1,"Sprayable",0.406,"0","1",26
"16",0.015015015015015,1,"Sprayable",0.406,"1","1",315
"17",0.016016016016016,1,"Sprayable",0.406,"0","0",557
"18",0.017017017017017,1,"Sprayable",0.406,"1","0",45
"19",0.018018018018018,1,"Sprayable",0.406,"0","1",26
"20",0.019019019019019,1,"Sprayable",0.406,"1","1",315
"21",0.02002002002002,1,"Sprayable",0.406,"0","0",557
"22",0.021021021021021,1,"Sprayable",0.406,"1","0",45
"23",0.022022022022022,1,"Sprayable",0.406,"0","1",26
"24",0.023023023023023,1,"Sprayable",0.406,"1","1",315
"25",0.024024024024024,0.997,"Sprayable",0.406,"0","0",557
"26",0.025025025025025,0.997,"Sprayable",0.406,"1","0",45
"27",0.026026026026026,0.997,"Sprayable",0.406,"0","1",26
"28",0.027027027027027,0.997,"Sprayable",0.406,"1","1",315
"29",0.028028028028028,0.997,"Sprayable",0.406,"0","0",557
"30",0.029029029029029,0.997,"Sprayable",0.406,"1","0",45
"31",0.03003003003003,0.997,"Sprayable",0.406,"0","1",26
"32",0.031031031031031,0.997,"Sprayable",0.406,"1","1",315
"33",0.032032032032032,0.997,"Sprayable",0.406,"0","0",557
"34",0.033033033033033,0.997,"Sprayable",0.406,"1","0",45
"35",0.034034034034034,0.997,"Sprayable",0.406,"0","1",26
"36",0.035035035035035,0.997,"Sprayable",0.406,"1","1",315
"37",0.036036036036036,0.997,"Sprayable",0.406,"0","0",557
"38",0.037037037037037,0.997,"Sprayable",0.406,"1","0",45
"39",0.038038038038038,0.994,"Sprayable",0.406,"0","1",26
"40",0.039039039039039,0.994,"Sprayable",0.406,"1","1",315
"41",0.04004004004004,0.994,"Sprayable",0.406,"0","0",557
"42",0.041041041041041,0.994,"Sprayable",0.406,"1","0",45
"43",0.042042042042042,0.994,"Sprayable",0.406,"0","1",26
"44",0.043043043043043,0.994,"Sprayable",0.406,"1","1",315
"45",0.044044044044044,0.994,"Sprayable",0.406,"0","0",557
"46",0.045045045045045,0.994,"Sprayable",0.406,"1","0",45
"47",0.046046046046046,0.994,"Sprayable",0.406,"0","1",26
"48",0.047047047047047,0.994,"Sprayable",0.406,"1","1",315
"49",0.048048048048048,0.994,"Sprayable",0.406,"0","0",557
"50",0.049049049049049,0.994,"Sprayable",0.406,"1","0",45
"51",0.05005005005005,0.994,"Sprayable",0.406,"0","1",26
"52",0.0510510510510511,0.994,"Sprayable",0.406,"1","1",315
"53",0.0520520520520521,0.994,"Sprayable",0.406,"0","0",557
"54",0.0530530530530531,0.994,"Sprayable",0.406,"1","0",45
"55",0.0540540540540541,0.994,"Sprayable",0.406,"0","1",26
"56",0.0550550550550551,0.994,"Sprayable",0.406,"1","1",315
"57",0.0560560560560561,0.994,"Sprayable",0.406,"0","0",557
"58",0.0570570570570571,0.994,"Sprayable",0.406,"1","0",45
"59",0.0580580580580581,0.994,"Sprayable",0.406,"0","1",26
