"","plot_data.threshold","plot_data.perc_corr_class","plot_data.group","opt_cutoff","confusion_matrix.predicted_class","confusion_matrix.observations","confusion_matrix.Freq"
"1",0,1,"Sprayable",0.186,"0","0",28645
"2",0.001001001001001,1,"Sprayable",0.186,"1","0",9125
"3",0.002002002002002,1,"Sprayable",0.186,"0","1",3056
"4",0.003003003003003,1,"Sprayable",0.186,"1","1",9697
"5",0.004004004004004,1,"Sprayable",0.186,"0","0",28645
"6",0.005005005005005,1,"Sprayable",0.186,"1","0",9125
"7",0.00600600600600601,1,"Sprayable",0.186,"0","1",3056
"8",0.00700700700700701,1,"Sprayable",0.186,"1","1",9697
"9",0.00800800800800801,0.999,"Sprayable",0.186,"0","0",28645
"10",0.00900900900900901,0.999,"Sprayable",0.186,"1","0",9125
"11",0.01001001001001,0.999,"Sprayable",0.186,"0","1",3056
"12",0.011011011011011,0.999,"Sprayable",0.186,"1","1",9697
"13",0.012012012012012,0.999,"Sprayable",0.186,"0","0",28645
"14",0.013013013013013,0.998,"Sprayable",0.186,"1","0",9125
"15",0.014014014014014,0.998,"Sprayable",0.186,"0","1",3056
"16",0.015015015015015,0.998,"Sprayable",0.186,"1","1",9697
"17",0.016016016016016,0.997,"Sprayable",0.186,"0","0",28645
"18",0.017017017017017,0.997,"Sprayable",0.186,"1","0",9125
"19",0.018018018018018,0.997,"Sprayable",0.186,"0","1",3056
"20",0.019019019019019,0.996,"Sprayable",0.186,"1","1",9697
"21",0.02002002002002,0.996,"Sprayable",0.186,"0","0",28645
"22",0.021021021021021,0.995,"Sprayable",0.186,"1","0",9125
"23",0.022022022022022,0.995,"Sprayable",0.186,"0","1",3056
"24",0.023023023023023,0.994,"Sprayable",0.186,"1","1",9697
"25",0.024024024024024,0.994,"Sprayable",0.186,"0","0",28645
"26",0.025025025025025,0.993,"Sprayable",0.186,"1","0",9125
"27",0.026026026026026,0.992,"Sprayable",0.186,"0","1",3056
"28",0.027027027027027,0.992,"Sprayable",0.186,"1","1",9697
"29",0.028028028028028,0.991,"Sprayable",0.186,"0","0",28645
"30",0.029029029029029,0.99,"Sprayable",0.186,"1","0",9125
"31",0.03003003003003,0.989,"Sprayable",0.186,"0","1",3056
"32",0.031031031031031,0.989,"Sprayable",0.186,"1","1",9697
"33",0.032032032032032,0.988,"Sprayable",0.186,"0","0",28645
"34",0.033033033033033,0.987,"Sprayable",0.186,"1","0",9125
"35",0.034034034034034,0.986,"Sprayable",0.186,"0","1",3056
"36",0.035035035035035,0.985,"Sprayable",0.186,"1","1",9697
"37",0.036036036036036,0.984,"Sprayable",0.186,"0","0",28645
"38",0.037037037037037,0.983,"Sprayable",0.186,"1","0",9125
"39",0.038038038038038,0.983,"Sprayable",0.186,"0","1",3056
"40",0.039039039039039,0.981,"Sprayable",0.186,"1","1",9697
"41",0.04004004004004,0.981,"Sprayable",0.186,"0","0",28645
"42",0.041041041041041,0.98,"Sprayable",0.186,"1","0",9125
"43",0.042042042042042,0.979,"Sprayable",0.186,"0","1",3056
"44",0.043043043043043,0.978,"Sprayable",0.186,"1","1",9697
"45",0.044044044044044,0.977,"Sprayable",0.186,"0","0",28645
"46",0.045045045045045,0.976,"Sprayable",0.186,"1","0",9125
"47",0.046046046046046,0.975,"Sprayable",0.186,"0","1",3056
"48",0.047047047047047,0.973,"Sprayable",0.186,"1","1",9697
"49",0.048048048048048,0.972,"Sprayable",0.186,"0","0",28645
"50",0.049049049049049,0.972,"Sprayable",0.186,"1","0",9125
"51",0.05005005005005,0.971,"Sprayable",0.186,"0","1",3056
"52",0.0510510510510511,0.969,"Sprayable",0.186,"1","1",9697
"53",0.0520520520520521,0.969,"Sprayable",0.186,"0","0",28645
"54",0.0530530530530531,0.967,"Sprayable",0.186,"1","0",9125
"55",0.0540540540540541,0.966,"Sprayable",0.186,"0","1",3056
"56",0.0550550550550551,0.965,"Sprayable",0.186,"1","1",9697
"57",0.0560560560560561,0.964,"Sprayable",0.186,"0","0",28645
"58",0.0570570570570571,0.963,"Sprayable",0.186,"1","0",9125
"59",0.0580580580580581,0.961,"Sprayable",0.186,"0","1",3056
"60",0.0590590590590591,0.961,"Sprayable",0.186,"1","1",9697
"61",0.0600600600600601,0.959,"Sprayable",0.186,"0","0",28645
"62",0.0610610610610611,0.958,"Sprayable",0.186,"1","0",9125
"63",0.0620620620620621,0.956,"Sprayable",0.186,"0","1",3056
"64",0.0630630630630631,0.954,"Sprayable",0.186,"1","1",9697
"65",0.0640640640640641,0.953,"Sprayable",0.186,"0","0",28645
"66",0.0650650650650651,0.952,"Sprayable",0.186,"1","0",9125
"67",0.0660660660660661,0.95,"Sprayable",0.186,"0","1",3056
"68",0.0670670670670671,0.949,"Sprayable",0.186,"1","1",9697
"69",0.0680680680680681,0.947,"Sprayable",0.186,"0","0",28645
"70",0.0690690690690691,0.945,"Sprayable",0.186,"1","0",9125
"71",0.0700700700700701,0.944,"Sprayable",0.186,"0","1",3056
"72",0.0710710710710711,0.942,"Sprayable",0.186,"1","1",9697
"73",0.0720720720720721,0.941,"Sprayable",0.186,"0","0",28645
"74",0.0730730730730731,0.939,"Sprayable",0.186,"1","0",9125
"75",0.0740740740740741,0.937,"Sprayable",0.186,"0","1",3056
"76",0.0750750750750751,0.935,"Sprayable",0.186,"1","1",9697
"77",0.0760760760760761,0.934,"Sprayable",0.186,"0","0",28645
"78",0.0770770770770771,0.932,"Sprayable",0.186,"1","0",9125
"79",0.0780780780780781,0.931,"Sprayable",0.186,"0","1",3056
"80",0.0790790790790791,0.929,"Sprayable",0.186,"1","1",9697
"81",0.0800800800800801,0.928,"Sprayable",0.186,"0","0",28645
"82",0.0810810810810811,0.927,"Sprayable",0.186,"1","0",9125
"83",0.0820820820820821,0.925,"Sprayable",0.186,"0","1",3056
"84",0.0830830830830831,0.924,"Sprayable",0.186,"1","1",9697
"85",0.0840840840840841,0.922,"Sprayable",0.186,"0","0",28645
"86",0.0850850850850851,0.921,"Sprayable",0.186,"1","0",9125
"87",0.0860860860860861,0.919,"Sprayable",0.186,"0","1",3056
"88",0.0870870870870871,0.918,"Sprayable",0.186,"1","1",9697
"89",0.0880880880880881,0.916,"Sprayable",0.186,"0","0",28645
"90",0.0890890890890891,0.915,"Sprayable",0.186,"1","0",9125
"91",0.0900900900900901,0.913,"Sprayable",0.186,"0","1",3056
"92",0.0910910910910911,0.912,"Sprayable",0.186,"1","1",9697
"93",0.0920920920920921,0.91,"Sprayable",0.186,"0","0",28645
"94",0.0930930930930931,0.908,"Sprayable",0.186,"1","0",9125
"95",0.0940940940940941,0.906,"Sprayable",0.186,"0","1",3056
"96",0.0950950950950951,0.904,"Sprayable",0.186,"1","1",9697
"97",0.0960960960960961,0.903,"Sprayable",0.186,"0","0",28645
"98",0.0970970970970971,0.901,"Sprayable",0.186,"1","0",9125
"99",0.0980980980980981,0.899,"Sprayable",0.186,"0","1",3056
"100",0.0990990990990991,0.898,"Sprayable",0.186,"1","1",9697
"101",0.1001001001001,0.896,"Sprayable",0.186,"0","0",28645
"102",0.101101101101101,0.894,"Sprayable",0.186,"1","0",9125
"103",0.102102102102102,0.892,"Sprayable",0.186,"0","1",3056
"104",0.103103103103103,0.89,"Sprayable",0.186,"1","1",9697
"105",0.104104104104104,0.889,"Sprayable",0.186,"0","0",28645
"106",0.105105105105105,0.886,"Sprayable",0.186,"1","0",9125
"107",0.106106106106106,0.885,"Sprayable",0.186,"0","1",3056
"108",0.107107107107107,0.884,"Sprayable",0.186,"1","1",9697
"109",0.108108108108108,0.882,"Sprayable",0.186,"0","0",28645
"110",0.109109109109109,0.88,"Sprayable",0.186,"1","0",9125
"111",0.11011011011011,0.878,"Sprayable",0.186,"0","1",3056
"112",0.111111111111111,0.876,"Sprayable",0.186,"1","1",9697
"113",0.112112112112112,0.875,"Sprayable",0.186,"0","0",28645
"114",0.113113113113113,0.873,"Sprayable",0.186,"1","0",9125
"115",0.114114114114114,0.871,"Sprayable",0.186,"0","1",3056
"116",0.115115115115115,0.869,"Sprayable",0.186,"1","1",9697
"117",0.116116116116116,0.868,"Sprayable",0.186,"0","0",28645
"118",0.117117117117117,0.866,"Sprayable",0.186,"1","0",9125
"119",0.118118118118118,0.865,"Sprayable",0.186,"0","1",3056
"120",0.119119119119119,0.864,"Sprayable",0.186,"1","1",9697
"121",0.12012012012012,0.862,"Sprayable",0.186,"0","0",28645
"122",0.121121121121121,0.861,"Sprayable",0.186,"1","0",9125
"123",0.122122122122122,0.859,"Sprayable",0.186,"0","1",3056
"124",0.123123123123123,0.857,"Sprayable",0.186,"1","1",9697
"125",0.124124124124124,0.856,"Sprayable",0.186,"0","0",28645
"126",0.125125125125125,0.854,"Sprayable",0.186,"1","0",9125
"127",0.126126126126126,0.853,"Sprayable",0.186,"0","1",3056
"128",0.127127127127127,0.851,"Sprayable",0.186,"1","1",9697
"129",0.128128128128128,0.85,"Sprayable",0.186,"0","0",28645
"130",0.129129129129129,0.848,"Sprayable",0.186,"1","0",9125
"131",0.13013013013013,0.847,"Sprayable",0.186,"0","1",3056
"132",0.131131131131131,0.845,"Sprayable",0.186,"1","1",9697
"133",0.132132132132132,0.843,"Sprayable",0.186,"0","0",28645
"134",0.133133133133133,0.842,"Sprayable",0.186,"1","0",9125
"135",0.134134134134134,0.841,"Sprayable",0.186,"0","1",3056
"136",0.135135135135135,0.839,"Sprayable",0.186,"1","1",9697
"137",0.136136136136136,0.837,"Sprayable",0.186,"0","0",28645
"138",0.137137137137137,0.835,"Sprayable",0.186,"1","0",9125
"139",0.138138138138138,0.834,"Sprayable",0.186,"0","1",3056
"140",0.139139139139139,0.832,"Sprayable",0.186,"1","1",9697
"141",0.14014014014014,0.831,"Sprayable",0.186,"0","0",28645
"142",0.141141141141141,0.83,"Sprayable",0.186,"1","0",9125
"143",0.142142142142142,0.828,"Sprayable",0.186,"0","1",3056
"144",0.143143143143143,0.826,"Sprayable",0.186,"1","1",9697
"145",0.144144144144144,0.825,"Sprayable",0.186,"0","0",28645
"146",0.145145145145145,0.824,"Sprayable",0.186,"1","0",9125
"147",0.146146146146146,0.822,"Sprayable",0.186,"0","1",3056
"148",0.147147147147147,0.821,"Sprayable",0.186,"1","1",9697
"149",0.148148148148148,0.819,"Sprayable",0.186,"0","0",28645
"150",0.149149149149149,0.818,"Sprayable",0.186,"1","0",9125
"151",0.15015015015015,0.816,"Sprayable",0.186,"0","1",3056
"152",0.151151151151151,0.815,"Sprayable",0.186,"1","1",9697
"153",0.152152152152152,0.813,"Sprayable",0.186,"0","0",28645
"154",0.153153153153153,0.811,"Sprayable",0.186,"1","0",9125
"155",0.154154154154154,0.809,"Sprayable",0.186,"0","1",3056
"156",0.155155155155155,0.808,"Sprayable",0.186,"1","1",9697
"157",0.156156156156156,0.806,"Sprayable",0.186,"0","0",28645
"158",0.157157157157157,0.804,"Sprayable",0.186,"1","0",9125
"159",0.158158158158158,0.803,"Sprayable",0.186,"0","1",3056
"160",0.159159159159159,0.801,"Sprayable",0.186,"1","1",9697
"161",0.16016016016016,0.799,"Sprayable",0.186,"0","0",28645
"162",0.161161161161161,0.798,"Sprayable",0.186,"1","0",9125
"163",0.162162162162162,0.796,"Sprayable",0.186,"0","1",3056
"164",0.163163163163163,0.795,"Sprayable",0.186,"1","1",9697
"165",0.164164164164164,0.794,"Sprayable",0.186,"0","0",28645
"166",0.165165165165165,0.792,"Sprayable",0.186,"1","0",9125
"167",0.166166166166166,0.791,"Sprayable",0.186,"0","1",3056
"168",0.167167167167167,0.79,"Sprayable",0.186,"1","1",9697
"169",0.168168168168168,0.788,"Sprayable",0.186,"0","0",28645
"170",0.169169169169169,0.786,"Sprayable",0.186,"1","0",9125
"171",0.17017017017017,0.784,"Sprayable",0.186,"0","1",3056
"172",0.171171171171171,0.782,"Sprayable",0.186,"1","1",9697
"173",0.172172172172172,0.781,"Sprayable",0.186,"0","0",28645
"174",0.173173173173173,0.779,"Sprayable",0.186,"1","0",9125
"175",0.174174174174174,0.778,"Sprayable",0.186,"0","1",3056
"176",0.175175175175175,0.776,"Sprayable",0.186,"1","1",9697
"177",0.176176176176176,0.775,"Sprayable",0.186,"0","0",28645
"178",0.177177177177177,0.773,"Sprayable",0.186,"1","0",9125
"179",0.178178178178178,0.771,"Sprayable",0.186,"0","1",3056
"180",0.179179179179179,0.77,"Sprayable",0.186,"1","1",9697
"181",0.18018018018018,0.769,"Sprayable",0.186,"0","0",28645
"182",0.181181181181181,0.767,"Sprayable",0.186,"1","0",9125
"183",0.182182182182182,0.765,"Sprayable",0.186,"0","1",3056
"184",0.183183183183183,0.763,"Sprayable",0.186,"1","1",9697
"185",0.184184184184184,0.762,"Sprayable",0.186,"0","0",28645
"186",0.185185185185185,0.76,"Sprayable",0.186,"1","0",9125
"187",0.186186186186186,0.758,"Sprayable",0.186,"0","1",3056
"188",0.187187187187187,0.757,"Sprayable",0.186,"1","1",9697
"189",0.188188188188188,0.755,"Sprayable",0.186,"0","0",28645
"190",0.189189189189189,0.753,"Sprayable",0.186,"1","0",9125
"191",0.19019019019019,0.752,"Sprayable",0.186,"0","1",3056
"192",0.191191191191191,0.75,"Sprayable",0.186,"1","1",9697
"193",0.192192192192192,0.748,"Sprayable",0.186,"0","0",28645
"194",0.193193193193193,0.747,"Sprayable",0.186,"1","0",9125
"195",0.194194194194194,0.745,"Sprayable",0.186,"0","1",3056
"196",0.195195195195195,0.744,"Sprayable",0.186,"1","1",9697
"197",0.196196196196196,0.742,"Sprayable",0.186,"0","0",28645
"198",0.197197197197197,0.741,"Sprayable",0.186,"1","0",9125
"199",0.198198198198198,0.739,"Sprayable",0.186,"0","1",3056
"200",0.199199199199199,0.738,"Sprayable",0.186,"1","1",9697
"201",0.2002002002002,0.736,"Sprayable",0.186,"0","0",28645
"202",0.201201201201201,0.735,"Sprayable",0.186,"1","0",9125
"203",0.202202202202202,0.733,"Sprayable",0.186,"0","1",3056
"204",0.203203203203203,0.731,"Sprayable",0.186,"1","1",9697
"205",0.204204204204204,0.729,"Sprayable",0.186,"0","0",28645
"206",0.205205205205205,0.728,"Sprayable",0.186,"1","0",9125
"207",0.206206206206206,0.726,"Sprayable",0.186,"0","1",3056
"208",0.207207207207207,0.725,"Sprayable",0.186,"1","1",9697
"209",0.208208208208208,0.723,"Sprayable",0.186,"0","0",28645
"210",0.209209209209209,0.722,"Sprayable",0.186,"1","0",9125
"211",0.21021021021021,0.72,"Sprayable",0.186,"0","1",3056
"212",0.211211211211211,0.719,"Sprayable",0.186,"1","1",9697
"213",0.212212212212212,0.717,"Sprayable",0.186,"0","0",28645
"214",0.213213213213213,0.716,"Sprayable",0.186,"1","0",9125
"215",0.214214214214214,0.714,"Sprayable",0.186,"0","1",3056
"216",0.215215215215215,0.712,"Sprayable",0.186,"1","1",9697
"217",0.216216216216216,0.711,"Sprayable",0.186,"0","0",28645
"218",0.217217217217217,0.709,"Sprayable",0.186,"1","0",9125
"219",0.218218218218218,0.708,"Sprayable",0.186,"0","1",3056
"220",0.219219219219219,0.705,"Sprayable",0.186,"1","1",9697
"221",0.22022022022022,0.705,"Sprayable",0.186,"0","0",28645
"222",0.221221221221221,0.702,"Sprayable",0.186,"1","0",9125
"223",0.222222222222222,0.701,"Sprayable",0.186,"0","1",3056
"224",0.223223223223223,0.7,"Sprayable",0.186,"1","1",9697
"225",0.224224224224224,0.698,"Sprayable",0.186,"0","0",28645
"226",0.225225225225225,0.697,"Sprayable",0.186,"1","0",9125
"227",0.226226226226226,0.695,"Sprayable",0.186,"0","1",3056
"228",0.227227227227227,0.693,"Sprayable",0.186,"1","1",9697
"229",0.228228228228228,0.692,"Sprayable",0.186,"0","0",28645
"230",0.229229229229229,0.69,"Sprayable",0.186,"1","0",9125
"231",0.23023023023023,0.689,"Sprayable",0.186,"0","1",3056
"232",0.231231231231231,0.687,"Sprayable",0.186,"1","1",9697
"233",0.232232232232232,0.686,"Sprayable",0.186,"0","0",28645
"234",0.233233233233233,0.685,"Sprayable",0.186,"1","0",9125
"235",0.234234234234234,0.683,"Sprayable",0.186,"0","1",3056
"236",0.235235235235235,0.682,"Sprayable",0.186,"1","1",9697
"237",0.236236236236236,0.68,"Sprayable",0.186,"0","0",28645
"238",0.237237237237237,0.679,"Sprayable",0.186,"1","0",9125
"239",0.238238238238238,0.677,"Sprayable",0.186,"0","1",3056
"240",0.239239239239239,0.676,"Sprayable",0.186,"1","1",9697
"241",0.24024024024024,0.674,"Sprayable",0.186,"0","0",28645
"242",0.241241241241241,0.673,"Sprayable",0.186,"1","0",9125
"243",0.242242242242242,0.672,"Sprayable",0.186,"0","1",3056
"244",0.243243243243243,0.67,"Sprayable",0.186,"1","1",9697
"245",0.244244244244244,0.669,"Sprayable",0.186,"0","0",28645
"246",0.245245245245245,0.668,"Sprayable",0.186,"1","0",9125
"247",0.246246246246246,0.667,"Sprayable",0.186,"0","1",3056
"248",0.247247247247247,0.665,"Sprayable",0.186,"1","1",9697
"249",0.248248248248248,0.663,"Sprayable",0.186,"0","0",28645
"250",0.249249249249249,0.662,"Sprayable",0.186,"1","0",9125
"251",0.25025025025025,0.66,"Sprayable",0.186,"0","1",3056
"252",0.251251251251251,0.658,"Sprayable",0.186,"1","1",9697
