"","plot_data.threshold","plot_data.perc_corr_class","plot_data.group","opt_cutoff","confusion_matrix.predicted_class","confusion_matrix.observations","confusion_matrix.Freq"
"1",0,1,"Sprayable",0.39,"0","0",2597
"2",0.001001001001001,1,"Sprayable",0.39,"1","0",277
"3",0.002002002002002,1,"Sprayable",0.39,"0","1",156
"4",0.003003003003003,1,"Sprayable",0.39,"1","1",1475
"5",0.004004004004004,1,"Sprayable",0.39,"0","0",2597
"6",0.005005005005005,1,"Sprayable",0.39,"1","0",277
"7",0.00600600600600601,1,"Sprayable",0.39,"0","1",156
"8",0.00700700700700701,1,"Sprayable",0.39,"1","1",1475
"9",0.00800800800800801,1,"Sprayable",0.39,"0","0",2597
"10",0.00900900900900901,1,"Sprayable",0.39,"1","0",277
"11",0.01001001001001,0.999,"Sprayable",0.39,"0","1",156
"12",0.011011011011011,0.999,"Sprayable",0.39,"1","1",1475
"13",0.012012012012012,0.999,"Sprayable",0.39,"0","0",2597
"14",0.013013013013013,0.998,"Sprayable",0.39,"1","0",277
"15",0.014014014014014,0.998,"Sprayable",0.39,"0","1",156
"16",0.015015015015015,0.998,"Sprayable",0.39,"1","1",1475
"17",0.016016016016016,0.998,"Sprayable",0.39,"0","0",2597
"18",0.017017017017017,0.997,"Sprayable",0.39,"1","0",277
"19",0.018018018018018,0.997,"Sprayable",0.39,"0","1",156
"20",0.019019019019019,0.997,"Sprayable",0.39,"1","1",1475
"21",0.02002002002002,0.997,"Sprayable",0.39,"0","0",2597
"22",0.021021021021021,0.996,"Sprayable",0.39,"1","0",277
"23",0.022022022022022,0.994,"Sprayable",0.39,"0","1",156
"24",0.023023023023023,0.994,"Sprayable",0.39,"1","1",1475
"25",0.024024024024024,0.994,"Sprayable",0.39,"0","0",2597
"26",0.025025025025025,0.994,"Sprayable",0.39,"1","0",277
"27",0.026026026026026,0.994,"Sprayable",0.39,"0","1",156
"28",0.027027027027027,0.994,"Sprayable",0.39,"1","1",1475
"29",0.028028028028028,0.994,"Sprayable",0.39,"0","0",2597
"30",0.029029029029029,0.994,"Sprayable",0.39,"1","0",277
"31",0.03003003003003,0.994,"Sprayable",0.39,"0","1",156
"32",0.031031031031031,0.994,"Sprayable",0.39,"1","1",1475
"33",0.032032032032032,0.994,"Sprayable",0.39,"0","0",2597
"34",0.033033033033033,0.994,"Sprayable",0.39,"1","0",277
