"","plot_data.threshold","plot_data.perc_corr_class","plot_data.group","opt_cutoff","confusion_matrix.predicted_class","confusion_matrix.observations","confusion_matrix.Freq"
"1",0,0.996,"Sprayable",0.079,"0","0",4998
"2",0.001001001001001,0.996,"Sprayable",0.079,"1","0",1653
"3",0.002002002002002,0.989,"Sprayable",0.079,"0","1",345
"4",0.003003003003003,0.989,"Sprayable",0.079,"1","1",1044
"5",0.004004004004004,0.989,"Sprayable",0.079,"0","0",4998
"6",0.005005005005005,0.983,"Sprayable",0.079,"1","0",1653
"7",0.00600600600600601,0.983,"Sprayable",0.079,"0","1",345
"8",0.00700700700700701,0.98,"Sprayable",0.079,"1","1",1044
"9",0.00800800800800801,0.974,"Sprayable",0.079,"0","0",4998
"10",0.00900900900900901,0.974,"Sprayable",0.079,"1","0",1653
"11",0.01001001001001,0.969,"Sprayable",0.079,"0","1",345
"12",0.011011011011011,0.967,"Sprayable",0.079,"1","1",1044
"13",0.012012012012012,0.966,"Sprayable",0.079,"0","0",4998
"14",0.013013013013013,0.962,"Sprayable",0.079,"1","0",1653
"15",0.014014014014014,0.957,"Sprayable",0.079,"0","1",345
"16",0.015015015015015,0.954,"Sprayable",0.079,"1","1",1044
"17",0.016016016016016,0.947,"Sprayable",0.079,"0","0",4998
"18",0.017017017017017,0.945,"Sprayable",0.079,"1","0",1653
"19",0.018018018018018,0.943,"Sprayable",0.079,"0","1",345
"20",0.019019019019019,0.943,"Sprayable",0.079,"1","1",1044
"21",0.02002002002002,0.943,"Sprayable",0.079,"0","0",4998
"22",0.021021021021021,0.94,"Sprayable",0.079,"1","0",1653
"23",0.022022022022022,0.938,"Sprayable",0.079,"0","1",345
"24",0.023023023023023,0.934,"Sprayable",0.079,"1","1",1044
"25",0.024024024024024,0.929,"Sprayable",0.079,"0","0",4998
"26",0.025025025025025,0.925,"Sprayable",0.079,"1","0",1653
"27",0.026026026026026,0.923,"Sprayable",0.079,"0","1",345
"28",0.027027027027027,0.922,"Sprayable",0.079,"1","1",1044
"29",0.028028028028028,0.919,"Sprayable",0.079,"0","0",4998
"30",0.029029029029029,0.916,"Sprayable",0.079,"1","0",1653
"31",0.03003003003003,0.911,"Sprayable",0.079,"0","1",345
"32",0.031031031031031,0.908,"Sprayable",0.079,"1","1",1044
"33",0.032032032032032,0.906,"Sprayable",0.079,"0","0",4998
"34",0.033033033033033,0.902,"Sprayable",0.079,"1","0",1653
"35",0.034034034034034,0.9,"Sprayable",0.079,"0","1",345
"36",0.035035035035035,0.896,"Sprayable",0.079,"1","1",1044
"37",0.036036036036036,0.894,"Sprayable",0.079,"0","0",4998
"38",0.037037037037037,0.892,"Sprayable",0.079,"1","0",1653
"39",0.038038038038038,0.889,"Sprayable",0.079,"0","1",345
"40",0.039039039039039,0.887,"Sprayable",0.079,"1","1",1044
"41",0.04004004004004,0.884,"Sprayable",0.079,"0","0",4998
"42",0.041041041041041,0.879,"Sprayable",0.079,"1","0",1653
"43",0.042042042042042,0.877,"Sprayable",0.079,"0","1",345
"44",0.043043043043043,0.874,"Sprayable",0.079,"1","1",1044
"45",0.044044044044044,0.873,"Sprayable",0.079,"0","0",4998
"46",0.045045045045045,0.871,"Sprayable",0.079,"1","0",1653
"47",0.046046046046046,0.865,"Sprayable",0.079,"0","1",345
"48",0.047047047047047,0.862,"Sprayable",0.079,"1","1",1044
"49",0.048048048048048,0.857,"Sprayable",0.079,"0","0",4998
"50",0.049049049049049,0.854,"Sprayable",0.079,"1","0",1653
"51",0.05005005005005,0.849,"Sprayable",0.079,"0","1",345
"52",0.0510510510510511,0.841,"Sprayable",0.079,"1","1",1044
"53",0.0520520520520521,0.837,"Sprayable",0.079,"0","0",4998
"54",0.0530530530530531,0.834,"Sprayable",0.079,"1","0",1653
"55",0.0540540540540541,0.83,"Sprayable",0.079,"0","1",345
"56",0.0550550550550551,0.829,"Sprayable",0.079,"1","1",1044
"57",0.0560560560560561,0.828,"Sprayable",0.079,"0","0",4998
"58",0.0570570570570571,0.824,"Sprayable",0.079,"1","0",1653
"59",0.0580580580580581,0.82,"Sprayable",0.079,"0","1",345
"60",0.0590590590590591,0.816,"Sprayable",0.079,"1","1",1044
"61",0.0600600600600601,0.814,"Sprayable",0.079,"0","0",4998
"62",0.0610610610610611,0.809,"Sprayable",0.079,"1","0",1653
"63",0.0620620620620621,0.806,"Sprayable",0.079,"0","1",345
"64",0.0630630630630631,0.803,"Sprayable",0.079,"1","1",1044
"65",0.0640640640640641,0.8,"Sprayable",0.079,"0","0",4998
"66",0.0650650650650651,0.798,"Sprayable",0.079,"1","0",1653
"67",0.0660660660660661,0.794,"Sprayable",0.079,"0","1",345
"68",0.0670670670670671,0.792,"Sprayable",0.079,"1","1",1044
"69",0.0680680680680681,0.79,"Sprayable",0.079,"0","0",4998
"70",0.0690690690690691,0.785,"Sprayable",0.079,"1","0",1653
"71",0.0700700700700701,0.782,"Sprayable",0.079,"0","1",345
"72",0.0710710710710711,0.78,"Sprayable",0.079,"1","1",1044
"73",0.0720720720720721,0.775,"Sprayable",0.079,"0","0",4998
"74",0.0730730730730731,0.77,"Sprayable",0.079,"1","0",1653
"75",0.0740740740740741,0.763,"Sprayable",0.079,"0","1",345
"76",0.0750750750750751,0.762,"Sprayable",0.079,"1","1",1044
"77",0.0760760760760761,0.757,"Sprayable",0.079,"0","0",4998
"78",0.0770770770770771,0.755,"Sprayable",0.079,"1","0",1653
"79",0.0780780780780781,0.752,"Sprayable",0.079,"0","1",345
"80",0.0790790790790791,0.747,"Sprayable",0.079,"1","1",1044
"81",0.0800800800800801,0.745,"Sprayable",0.079,"0","0",4998
