"","plot_data.threshold","plot_data.perc_corr_class","plot_data.group","opt_cutoff","confusion_matrix.predicted_class","confusion_matrix.observations","confusion_matrix.Freq"
"1",0,1,"Sprayable",0.259,"0","0",188
"2",0.001001001001001,1,"Sprayable",0.259,"1","0",43
"3",0.002002002002002,1,"Sprayable",0.259,"0","1",21
"4",0.003003003003003,1,"Sprayable",0.259,"1","1",93
"5",0.004004004004004,1,"Sprayable",0.259,"0","0",188
"6",0.005005005005005,1,"Sprayable",0.259,"1","0",43
"7",0.00600600600600601,1,"Sprayable",0.259,"0","1",21
"8",0.00700700700700701,1,"Sprayable",0.259,"1","1",93
"9",0.00800800800800801,1,"Sprayable",0.259,"0","0",188
"10",0.00900900900900901,1,"Sprayable",0.259,"1","0",43
"11",0.01001001001001,1,"Sprayable",0.259,"0","1",21
"12",0.011011011011011,1,"Sprayable",0.259,"1","1",93
"13",0.012012012012012,1,"Sprayable",0.259,"0","0",188
"14",0.013013013013013,1,"Sprayable",0.259,"1","0",43
"15",0.014014014014014,1,"Sprayable",0.259,"0","1",21
"16",0.015015015015015,1,"Sprayable",0.259,"1","1",93
"17",0.016016016016016,1,"Sprayable",0.259,"0","0",188
"18",0.017017017017017,1,"Sprayable",0.259,"1","0",43
"19",0.018018018018018,1,"Sprayable",0.259,"0","1",21
"20",0.019019019019019,1,"Sprayable",0.259,"1","1",93
"21",0.02002002002002,1,"Sprayable",0.259,"0","0",188
"22",0.021021021021021,1,"Sprayable",0.259,"1","0",43
"23",0.022022022022022,1,"Sprayable",0.259,"0","1",21
"24",0.023023023023023,1,"Sprayable",0.259,"1","1",93
"25",0.024024024024024,1,"Sprayable",0.259,"0","0",188
"26",0.025025025025025,1,"Sprayable",0.259,"1","0",43
"27",0.026026026026026,1,"Sprayable",0.259,"0","1",21
"28",0.027027027027027,1,"Sprayable",0.259,"1","1",93
"29",0.028028028028028,1,"Sprayable",0.259,"0","0",188
"30",0.029029029029029,1,"Sprayable",0.259,"1","0",43
"31",0.03003003003003,1,"Sprayable",0.259,"0","1",21
"32",0.031031031031031,1,"Sprayable",0.259,"1","1",93
"33",0.032032032032032,1,"Sprayable",0.259,"0","0",188
"34",0.033033033033033,1,"Sprayable",0.259,"1","0",43
"35",0.034034034034034,1,"Sprayable",0.259,"0","1",21
"36",0.035035035035035,1,"Sprayable",0.259,"1","1",93
"37",0.036036036036036,1,"Sprayable",0.259,"0","0",188
"38",0.037037037037037,1,"Sprayable",0.259,"1","0",43
"39",0.038038038038038,1,"Sprayable",0.259,"0","1",21
"40",0.039039039039039,1,"Sprayable",0.259,"1","1",93
"41",0.04004004004004,1,"Sprayable",0.259,"0","0",188
"42",0.041041041041041,1,"Sprayable",0.259,"1","0",43
"43",0.042042042042042,1,"Sprayable",0.259,"0","1",21
"44",0.043043043043043,1,"Sprayable",0.259,"1","1",93
"45",0.044044044044044,1,"Sprayable",0.259,"0","0",188
"46",0.045045045045045,1,"Sprayable",0.259,"1","0",43
"47",0.046046046046046,1,"Sprayable",0.259,"0","1",21
"48",0.047047047047047,1,"Sprayable",0.259,"1","1",93
"49",0.048048048048048,1,"Sprayable",0.259,"0","0",188
"50",0.049049049049049,1,"Sprayable",0.259,"1","0",43
"51",0.05005005005005,1,"Sprayable",0.259,"0","1",21
"52",0.0510510510510511,1,"Sprayable",0.259,"1","1",93
"53",0.0520520520520521,1,"Sprayable",0.259,"0","0",188
"54",0.0530530530530531,0.974,"Sprayable",0.259,"1","0",43
"55",0.0540540540540541,0.974,"Sprayable",0.259,"0","1",21
"56",0.0550550550550551,0.974,"Sprayable",0.259,"1","1",93
"57",0.0560560560560561,0.974,"Sprayable",0.259,"0","0",188
"58",0.0570570570570571,0.974,"Sprayable",0.259,"1","0",43
"59",0.0580580580580581,0.974,"Sprayable",0.259,"0","1",21
