"","plot_data.threshold","plot_data.perc_corr_class","plot_data.group","opt_cutoff","confusion_matrix.predicted_class","confusion_matrix.observations","confusion_matrix.Freq"
"1",0,0.998,"Sprayable",0.104,"0","0",41655
"2",0.001001001001001,0.998,"Sprayable",0.104,"1","0",5044
"3",0.002002002002002,0.996,"Sprayable",0.104,"0","1",782
"4",0.003003003003003,0.996,"Sprayable",0.104,"1","1",6460
"5",0.004004004004004,0.996,"Sprayable",0.104,"0","0",41655
"6",0.005005005005005,0.993,"Sprayable",0.104,"1","0",5044
"7",0.00600600600600601,0.993,"Sprayable",0.104,"0","1",782
"8",0.00700700700700701,0.991,"Sprayable",0.104,"1","1",6460
"9",0.00800800800800801,0.99,"Sprayable",0.104,"0","0",41655
"10",0.00900900900900901,0.99,"Sprayable",0.104,"1","0",5044
"11",0.01001001001001,0.988,"Sprayable",0.104,"0","1",782
"12",0.011011011011011,0.987,"Sprayable",0.104,"1","1",6460
"13",0.012012012012012,0.987,"Sprayable",0.104,"0","0",41655
"14",0.013013013013013,0.985,"Sprayable",0.104,"1","0",5044
"15",0.014014014014014,0.984,"Sprayable",0.104,"0","1",782
"16",0.015015015015015,0.984,"Sprayable",0.104,"1","1",6460
"17",0.016016016016016,0.982,"Sprayable",0.104,"0","0",41655
"18",0.017017017017017,0.981,"Sprayable",0.104,"1","0",5044
"19",0.018018018018018,0.98,"Sprayable",0.104,"0","1",782
"20",0.019019019019019,0.979,"Sprayable",0.104,"1","1",6460
"21",0.02002002002002,0.978,"Sprayable",0.104,"0","0",41655
"22",0.021021021021021,0.977,"Sprayable",0.104,"1","0",5044
"23",0.022022022022022,0.976,"Sprayable",0.104,"0","1",782
"24",0.023023023023023,0.974,"Sprayable",0.104,"1","1",6460
"25",0.024024024024024,0.973,"Sprayable",0.104,"0","0",41655
"26",0.025025025025025,0.972,"Sprayable",0.104,"1","0",5044
"27",0.026026026026026,0.971,"Sprayable",0.104,"0","1",782
"28",0.027027027027027,0.969,"Sprayable",0.104,"1","1",6460
"29",0.028028028028028,0.968,"Sprayable",0.104,"0","0",41655
"30",0.029029029029029,0.966,"Sprayable",0.104,"1","0",5044
"31",0.03003003003003,0.965,"Sprayable",0.104,"0","1",782
