"","countries[[i]]","accuracy","precision_value","sensitivity","specificity","prevalence","PPV","FDR","NPV","FOR","NER","f1score","cohen_kappa","mcc_man","auc_train1","auc_test","mcc_man.1","tn","fn","fp","tp"
"1","algeria",0.881188118811881,0.714285714285714,1,0.830985915492958,0.297029702970297,0.714285714285714,0.285714285714286,1,0,0.297029702970297,0.833333333333333,0.744949494949495,0.770429340179393,0.910201533797039,0.915492957746479,0.770429340179393,944,0,192,480
"2","angola",0.967621419676214,0.751196172248804,1,0.964113181504486,0.0977584059775841,0.751196172248804,0.248803827751196,1,0,0.0977584059775841,0.85792349726776,0.840067410996419,0.851021816148556,0.984463864613677,0.982056590752243,0.851021816148556,1397,0,52,157
"3","benin",0.919298245614035,0.737142857142857,1,0.895691609977324,0.226315789473684,0.737142857142857,0.262857142857143,1,0,0.226315789473684,0.848684210526316,0.795364083352845,0.812559334755051,0.946973145197997,0.947845804988662,0.812559334755051,790,0,92,258
"4","botswana",0.979949874686717,0.859030837004405,1,0.977159172019986,0.12218045112782,0.859030837004405,0.140969162995595,1,0,0.12218045112782,0.924170616113744,0.912694749582038,0.916193135439717,0.987465979086091,0.988579586009993,0.916193135439717,1369,0,32,195
"5","burkina-faso",0.973322554567502,0.925339366515837,1,0.960144927536232,0.330638641875505,0.925339366515837,0.0746606334841629,1,0,0.330638641875505,0.961222091656874,0.940935944126367,0.942581507886597,0.977806788511749,0.980072463768116,0.942581507886597,795,0,33,409
"6","burundi",0.943502824858757,0.861111111111111,1,0.91304347826087,0.350282485875706,0.861111111111111,0.138888888888889,1,0,0.350282485875706,0.925373134328358,0.880324543610548,0.886697177201986,0.957142857142857,0.956521739130435,0.886697177201986,105,0,10,62
"7","cameroon",0.931335830212235,0.908713692946058,1,0.783037475345168,0.683520599250936,0.908713692946058,0.0912863070539418,1,0,0.316479400749064,0.952173913043478,0.831473246306126,0.843538307331721,0.892073170731707,0.891518737672584,0.843538307331721,397,0,110,1095
"8","canary-islands",0.976658476658477,0.909307875894988,1,0.969526864474739,0.234029484029484,0.909307875894988,0.0906921241050119,1,0,0.234029484029484,0.9525,0.937073933855615,0.938934722842144,0.985218402258761,0.98476343223737,0.938934722842144,1209,0,38,381
"9","cape-verde",0.960049937578027,0.900311526479751,1,0.9375,0.360799001248439,0.900311526479751,0.0996884735202492,1,0,0.360799001248439,0.947540983606557,0.915426037377257,0.918717614980123,0.965152701644479,0.96875,0.918717614980123,480,0,32,289
"10","central-african-republic",0.95558639833449,0.760299625468165,1,0.948303715670436,0.14087439278279,0.760299625468165,0.239700374531835,1,0,0.14087439278279,0.863829787234043,0.837881547213062,0.849114220734938,0.971182025398893,0.974151857835218,0.849114220734938,1174,0,64,203
"11","chad",0.962640099626401,0.80327868852459,1,0.955914768552535,0.152552926525529,0.80327868852459,0.19672131147541,1,0,0.152552926525529,0.890909090909091,0.868692512093752,0.876279613835771,0.97915131869751,0.977957384276267,0.876279613835771,1301,0,60,245
"12","comores",0.99364406779661,0.964566929133858,1,0.992314261315115,0.173022598870056,0.964566929133858,0.0354330708661419,1,0,0.173022598870056,0.981963927855711,0.978107757110169,0.978342230394075,0.995347656910844,0.996157130657558,0.978342230394075,1162,0,9,245
"13","congo-brazzaville",0.815789473684211,0.65,1,0.72,0.342105263157895,0.65,0.35,1,0,0.342105263157895,0.787878787878788,0.637602179836512,0.684105255059483,0.846296296296296,0.86,0.684105255059483,36,0,14,26
"14","congo-democratic-republic",0.928435718809373,0.65015479876161,1,0.91745799853908,0.13299556681444,0.65015479876161,0.34984520123839,1,0,0.13299556681444,0.787992495309568,0.747251564210911,0.772327469673587,0.95747609388583,0.95872899926954,0.772327469673587,1256,0,113,210
"15","djibouti",0.987951807228916,0.979166666666667,1,0.972222222222222,0.566265060240964,0.979166666666667,0.0208333333333334,1,0,0.433734939759036,0.989473684210526,0.975392825378002,0.975688266093527,0.971264367816092,0.986111111111111,0.975688266093527,35,0,1,47
"16","egypt",0.966292134831461,0.930728241563055,1,0.938388625592417,0.452895419187554,0.930728241563055,0.0692717584369449,1,0,0.452895419187554,0.964121435142594,0.932413669145566,0.934550584719951,0.969745735436112,0.969194312796209,0.934550584719951,594,0,39,524
"17","equatorial-guinea",0.959459459459459,0.9,1,0.936170212765957,0.364864864864865,0.9,0.1,1,0,0.364864864864865,0.947368421052632,0.914549653579677,0.917906962327534,0.967557251908397,0.968085106382979,0.917906962327534,44,0,3,27
"18","eritrea",0.986394557823129,0.980582524271845,1,0.956521739130435,0.687074829931973,0.980582524271845,0.0194174757281553,1,0,0.312925170068027,0.990196078431373,0.967980832062731,0.968477414025447,0.971590909090909,0.978260869565217,0.968477414025447,44,0,2,101
"19","ethiopia",0.981155778894472,0.946902654867257,1,0.971617786187323,0.33605527638191,0.946902654867257,0.0530973451327433,1,0,0.33605527638191,0.972727272727273,0.958348231805695,0.959180619725515,0.989377702575672,0.985808893093661,0.959180619725515,1027,0,30,535
"20","gabon",0.763636363636364,0.617647058823529,1,0.617647058823529,0.381818181818182,0.617647058823529,0.382352941176471,1,0,0.381818181818182,0.763636363636364,0.552285535378835,0.617647058823529,0.810064935064935,0.808823529411765,0.617647058823529,42,0,26,42
"21","ghana",0.954745443117536,0.778461538461538,1,0.946188340807175,0.15901948460088,0.778461538461538,0.221538461538462,1,0,0.15901948460088,0.875432525951557,0.848305232881502,0.858237281559782,0.964725976533492,0.973094170403587,0.858237281559782,1266,0,72,253
"22","guinea",0.97334159950403,0.790243902439024,1,0.970365265334252,0.100433973961562,0.790243902439025,0.209756097560975,1,0,0.100433973961562,0.88283378746594,0.868026128767712,0.875685579457044,0.983165688739872,0.985182632667126,0.875685579457044,1408,0,43,162
"23","guinea-bissau",0.925925925925926,0.454545454545455,1,0.921052631578947,0.0617283950617284,0.454545454545454,0.545454545454546,1,0,0.0617283950617284,0.625,0.590219224283305,0.647039633315719,0.938157894736842,0.960526315789474,0.647039633315719,70,0,6,5
"24","ivory-coast",0.972027972027972,0.950338600451467,1,0.939808481532148,0.535282898919263,0.950338600451467,0.0496613995485328,1,0,0.464717101080737,0.974537037037037,0.943552017747039,0.945058874902342,0.973209328151027,0.969904240766074,0.945058874902342,687,0,44,842
"25","kenya",0.964601769911504,0.843137254901961,1,0.956284153005464,0.190265486725664,0.843137254901961,0.156862745098039,1,0,0.190265486725664,0.914893617021277,0.892751216039862,0.897930284415931,0.977822270137071,0.978142076502732,0.897930284415931,1225,0,56,301
"26","lesotho",0.997512437810945,0.979166666666667,1,0.997183098591549,0.116915422885572,0.979166666666667,0.0208333333333334,1,0,0.116915422885572,0.989473684210526,0.988063424193836,0.988133822265094,0.99760630808223,0.998591549295775,0.988133822265094,1416,0,4,188
"27","liberia",0.955513784461153,0.839002267573696,1,0.942088091353997,0.231829573934837,0.839002267573696,0.160997732426304,1,0,0.231829573934837,0.912453760789149,0.882939951405762,0.889052329674794,0.970113617651902,0.971044045676998,0.889052329674794,1155,0,71,370
